id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_kmph,astronomical,miss_distance_km,miss_distance_lunar,orbiting_body
2415949,2415949,415949 (2001 XY10),19.37,0.3552670883,0.7944013596,False,2024-01-02,57205.8951204341,0.3372535274,50452409.349026635,131.1916221586,Earth
3160747,3160747,(2003 SR84),26.0,0.0167708462,0.0375007522,False,2024-01-02,38589.054833182,0.1323425924,19798169.933318187,51.4812684436,Earth
3309828,3309828,(2005 YQ96),20.62,0.1997813652,0.4467247133,True,2024-01-02,56413.0143519451,0.1670126223,24984732.5591945,64.9679100747,Earth
3457842,3457842,(2009 HC21),22.1,0.1010543415,0.2259643771,False,2024-01-02,21891.1182185894,0.4920511029,73609796.92499082,191.4078790281,Earth
3553062,3553062,(2010 XA11),26.1,0.0160160338,0.0358129403,False,2024-01-02,31468.9783588978,0.2358022486,35275514.131770484,91.7270747054,Earth
3591616,3591616,(2011 YP10),23.94,0.0433066885,0.0968366995,False,2024-01-02,20905.2083584121,0.0704899554,10545147.184234997,27.4205926506,Earth
3608936,3608936,(2012 SD22),20.05,0.2597496533,0.580817882,True,2024-01-02,39682.059481597,0.1644228854,24597313.4350941,63.9605024206,Earth
3795154,3795154,(2017 YD8),21.87,0.1123453177,0.2512117673,False,2024-01-02,68377.1134793652,0.2012574006,30107678.45149672,78.2891288334,Earth
3842680,3842680,(2019 KK5),22.79,0.0735453089,0.1644523102,False,2024-01-02,74999.2690004519,0.0260972745,3904096.678005315,10.1518397805,Earth
2613286,2613286,613286 (2005 YQ96),20.63,0.1988634532,0.4446721997,True,2024-01-02,56413.0425616862,0.16701304,24984795.0462248,64.96807256,Earth
54338714,54338714,(2023 AW),25.68,0.0194336768,0.0434550225,False,2024-01-02,19080.1143374717,0.1086400025,16252312.970794676,42.2609609725,Earth
54415081,54415081,(2023 XZ4),24.05,0.0411675457,0.0920534307,False,2024-01-02,40773.2703521008,0.1449999147,21691678.389301687,56.4049668183,Earth
54417653,54417653,(2023 YR),24.9,0.0278326768,0.0622357573,False,2024-01-02,43990.4575325894,0.0115640803,1729961.781388961,4.4984272367,Earth
54418497,54418497,(2024 AA),27.41,0.0087610261,0.01959025,False,2024-01-02,77155.5933716609,0.0040814207,610571.843293909,1.5876726523,Earth
54418796,54418796,(2022 OY78),26.38,0.0140784543,0.0314803809,False,2024-01-02,31793.2989592959,0.1173407628,17553928.179055236,45.6455567292,Earth
54419485,54419485,(2024 AQ1),23.72,0.0479242116,0.1071617948,False,2024-01-02,55690.3625074711,0.0438286898,6556678.638970726,17.0493603322,Earth
54419601,54419601,(2024 AA2),20.54,0.2072788434,0.4634895841,False,2024-01-02,57600.8836810697,0.1924771023,28794164.5278521,74.8735927947,Earth
54420153,54420153,(2024 AR3),23.6,0.0506471459,0.1132504611,False,2024-01-02,46955.9053910434,0.0526643224,7878470.456033288,20.4864214136,Earth
54421393,54421393,(2024 BK1),24.49,0.0336166921,0.0751692087,False,2024-01-02,21065.9333422733,0.2431104304,36368802.56262325,94.5699574256,Earth
2669051,2669051,669051 (2012 SD22),20.08,0.2561857545,0.5728487619,True,2024-01-02,39682.0580935237,0.1644228604,24597309.695147347,63.9604926956,Earth
54444997,54444997,(2024 KY),26.5,0.0133215567,0.0297879063,False,2024-01-02,22611.5370594138,0.2348125113,35127451.53983093,91.3420668957,Earth
54445206,54445206,(2024 KJ1),26.21,0.0152249185,0.0340439527,False,2024-01-02,17946.3945602822,0.107160298,16030952.32936526,41.685355922,Earth
3724393,3724393,(2015 OD22),21.21,0.152249185,0.3404395273,False,2024-01-01,91415.3925356518,0.4372881787,65417380.10969937,170.1051015143,Earth
3797695,3797695,(2018 BA),25.0,0.02658,0.0594346868,False,2024-01-01,60138.6729062958,0.3961064439,59256680.30071449,154.0854066771,Earth
